Code,Name,Description
DCF-684,Redundancy of Processing,"Optimized Payments has implemented redundancy strategies for equipment, systems, and processes as deemed necessary per the business continuity plan(s) to meet availability requirements (e.g., redundancy in network components, production resources, supporting utilities, service providers, processing sites, etc.)"
DCF-685,Review of Security Awareness Program,The security awareness program is reviewed at least annually and updated as needed to address any new threats and vulnerabilities that may impact the security of the company's environment or the information provided to personnel about their role in protecting sensitive data.
DCF-686,"PCI Targeted Frequency 
Risk Analysis","Optimized Payments performs a targeted risk analysis at least annually to identify the necessary frequency for PCI DSS compliance activities that provide flexibility for how frequently they are performed. Documentation of the risk analysis is maintained and includes: identification of assets, threats, factors that contribute to likelihood and impact, and resulting analysis with justification for how frequently each requirement will be performed."
DCF-687,Email Protection Mechanisms,"Optimized Payments has implemented processes and automated mechanisms to maintain the integrity of email communications and detect or protect against phishing attacks and malicious emails (e.g., DMARC, SPF and DKIM to prevent spoofed or modified emails from valid domains, etc.)."
DCF-688,Return of Assets,"Optimized Payments tracks and documents the return of all electronic and physical assets upon termination as part of the offboarding process. Access mechanisms such as keys, access cards, MFA tokens, are disabled or collected by IT or HR personnel."
DCF-689,On-Call Team,Specific personnel are designated to be available on a 24/7 basis to respond to suspected or confirmed security incidents and operational issues through an on-call rotation schedule.
DCF-690,"PCI Targeted Customized Approach 
Risk Analysis","Optimized Payments performs a targeted risk analysis at least annually for each PCI DSS requirement that the entity meets with the customized approach. Documented evidence is retained to include each element specified in PCI DSS 4.0 Appendix D: Customized Approach (including, at a minimum, a controls matrix and risk analysis) and evidence of approval by senior management."
DCF-691,Marketing Express Consent,Optimized Payments obtains express consent from data subjects prior to using any PII processed under a contract for the purposes of marketing and advertising. Such consent is optional and not a condition for use of the service.
DCF-694,Use of Unencrypted Portable Storage,Optimized Payments limits the use of unencrypted physical media and portable devices to only when strictly necessary. Use of unencrypted physical media is documented to include business justification and approval.
DCF-698,Automated Mechanisms for Audit Log Reviews,"Optimized Payments has implemented automated mechanisms for audit record reduction that supports correlated audit log review and analysis, such as centralized log management systems, event log analyzers, security information and event management (SIEM) solutions, etc."
DCF-699,Authenticated Scanning for Internal Vulnerability Scans,All internal vulnerability scans are conducted via authenticated scanning using credentials with sufficient privileges to conduct a thorough scan. Credentials are managed securely in accordance with company policies and procedures. Optimized Payments maintains documentation of any systems that are unable to accept credentials for authenticated scanning.
DCF-700,Review of PCI Hardware and Software,"Optimized Payments reviews hardware and software technologies at least once every 12 months to confirm whether they continue to meet the organization's PCI DSS requirements. The review documentation includes a plan for remediating technologies that no longer meet the organization's security and PCI DSS requirements, up to and including replacement of the technology, as appropriate."
DCF-701,Review of PCI Requirements Upon Organizational Structure Changes,"Optimized Payments performs a formal internal review of the impact to PCI DSS scope and applicability of controls upon changes to the organizational structure, such as company mergers or acquisitions, changes in personnel with responsibility for security controls, etc., with results communicated to executive management in accordance with documented company policies and procedures."
DCF-702,PCI Scope Validation (Annual),"Optimized Payments performs a formal review of the documented PCI DSS scope at least once every 12 months and upon significant change to the environment to validate that all data flows, account data, system components, segmentation controls, and connections from third parties with access to the cardholder data environment are included in the scope of the compliance program. Results of the review including changes are documented and retained."
DCF-703,PCI Scope Validation for Service Providers (Semi-Annual),"Optimized Payments performs a formal review of the documented PCI DSS scope at least once every six months and upon significant change to the environment to validate that all data flows, account data, system components, segmentation controls, and connections from third parties with access to the cardholder data environment are included in the scope of the compliance program. Results of the review including changes are documented and retained."
DCF-704,PCI Compliance Training,"Optimized Payments provides PCI DSS or specialized information security training to all personnel with PCI DSS compliance responsibilities at least once every 12 months that focuses on specific security topics, skills, processes, or methodologies that must be followed for those individuals to perform their compliance responsibilities effectively."
DCF-705,PCI Scope Validation for Designated Entities (Quarterly),"Optimized Payments performs a formal review of the documented PCI DSS scope at least once every three months and upon significant change to the environment to validate that all data flows, account data, system components, segmentation controls, and connections from third parties with access to the cardholder data environment are included in the scope of the compliance program. Results of the review including changes are documented and retained."
DCF-706,Multi-Tenant Segregation Between Provider and Customer ,"For multitenant service providers, logical separation is implemented so that customers cannot access the provider's environment and the provider cannot access its customers' environments without authorization."
DCF-707,Credentials for System Accounts Not Hard-Coded,"Optimized Payments has implemented mechanisms to validate that authentication credentials for any application and system accounts are not hard coded in scripts, configuration/property files, or bespoke and custom source code."
DCF-708,Software and Third Party Libraries Inventory ,"An inventory of bespoke and custom software and third-party software components, such as a software bill of materials (SBOM), is maintained and kept up to date (e.g., through the use of software composition analysis tools or other mechanisms)."
DCF-709,IDS/IPS Addresses Covert Malware,"Intrusion-detection and/or intrusion-prevention mechanisms in place detect, alert on/prevent, and address covert malware communication channels such as DNS tunneling.  Alerts generated by these mechanisms are responded to by personnel, or by automated means that ensure that such communications are blocked."
DCF-710,Multi-Tenant Service Provider Supports Customer Pentest Requests,"Optimized Payments supports its customers' needs for technical penetration testing by either providing access to the customer for conducting the test or providing evidence that comparable technical testing has been undertaken, such as penetration test results, upon customer request."
DCF-711,Incident Procedures Support Customers Forensic Investigations,Optimized Payments has documented processes or mechanisms to support and/or facilitate a prompt forensic investigation of related servers in the event of a suspected or confirmed security incident for any customer.
DCF-712,Static Application Security Testing,"Optimized Payments uses static application security testing (SAST) or equivalent tool as part of the CI/CD pipeline to detect vulnerabilities in the codebase. When vulnerabilities are identified, corrections are implemented prior to release as appropriate based on the nature of the vulnerability."
DCF-713,Consoles in Sensitive Areas Locked,Console login screens for physical consoles within sensitive areas are locked to prevent unauthorized use.
DCF-714,Lifecycle Events for User IDs and Authentication Factors Authorized,"Changes to user IDs (addition, deletion, and modification), authentication factors, and other identifier objects are implemented only with documented management approval and in accordance with the privileges specified on the documented approval."
DCF-715,Live PANs Not Used Outside of CDE,Live primary account numbers (PAN) are not used in pre-production environments except where those environments are within the scope of the PCI compliance program and managed in accordance with all applicable PCI DSS requirements.
DCF-716,Application and System Accounts Authorized,Application and system accounts and related access privileges are provisioned based on documented authorization from management and limited to only the access needed for the operability of an application or system.
DCF-717,Unique Authentication Factors,"Optimized Payments assigns authentication factors such as physical or logical security tokens, smart cards, or certificates that are unique to each individual user and not shared among multiple users. Physical or technical controls, such as a PIN, biometric data, passwords, etc., are in place so that only the intended user can use that factor to gain access."
DCF-718,SSL and Early TLS Vulnerability Verification,"For any point-of-sale (POS) and point-of-interaction (POI) terminals in use at merchant or payment acceptance location that use SSL and/or early TLS, the entity verifies and retains evidence to show that devices are not susceptible to any known exploits for those protocols (e.g., through inspection of vendor documentation or system/network configuration details, etc.)"
DCF-719,SSL and Early TLS Secure Service Offering,Optimized Payments provides a secure service offering for customers with point-of-interaction (POI) terminals that use SSL and early TLS to upgrade their POIs to eliminate vulnerabilities associated with these legacy protocols.
DCF-720,Unauthorized Changes on Payment Pages  Detected,"A change- and tamper-detection mechanism is deployed to alert personnel to unauthorized modification, including indicators of compromise, changes, additions, and deletions, to the HTTP headers and the contents of payment pages as received by the consumer browser. The mechanism is configured to evaluate the received HTTP header and payment page at least once every seven days or periodically based on the entity's targeted risk analysis."
DCF-721,Payment Page Scripts Inventory and Verification,Optimized Payments maintains an inventory of all payment page scripts that are loaded and executed in the consumer's browser maintained with written business justification. Optimized Payments has implemented mechanisms to confirm that all payment page scripts authorized and to assure the integrity of each script.
DCF-722,Service Provider Responds to PCI DSS Information Requests from Customers,"Optimized Payments provides, upon customer request, information on PCI DSS compliance status and information about which PCI DSS requirements are the responsibility of Optimized Payments versus the customer, as well as any shared responsibilities."
DCF-723,Multi-Tenant Customers Log Availability,Optimized Payments provides audit log capability for each customer's environment that is active by default. Logs are available for review only by the owning customer and log data and availability is consistent with compliance requirements. The log locations are clearly communicated to the owning customer.
DCF-724,Incident Response Procedures When Cleartext PAN Detected,"Optimized Payments documented incident response procedures include processes to respond, analyze, and address situations in the event that cleartext PAN is detected where it is not expected."
DCF-725,MFA Configured to Prevent Misuse,"Where multi-factor authentication (MFA) is used, system configurations are in place to prevent replay attacks, require at least two different types of authentication factors, and restrict bypassing of requirements by any users, including administrative users, unless specifically documented, and authorized by management on an exception basis, for a limited time period."
DCF-726,Interactive Use of System and Application Accounts Managed,"Where system or application accounts can be used for interactive login, interactive use is prevented unless needed for an exceptional circumstance and of limited duration. Instances of interactive use are supported by documented business justification and explicit approval by management, and every action taken is attributable to an individual user."
DCF-727,Passwords for System and Application Accounts Changed Periodically,Optimized Payments changes passwords of any application and system accounts periodically (as defined by the entity's targeted risk analysis) and upon suspicion or confirmation of compromise. Passwords are configured with sufficient complexity to resist brute-force and guessing attacks and in accordance with company procedures.
DCF-728,Roles and Responsibilities for PCI DSS Compliance for Designated Entities,"Roles and responsibilities for PCI DSS compliance activities and requirements are documented and assigned to one or more individuals with sufficient authority, including responsibilities for managing PCI DSS business-as-usual activities, annual assessments, continuous validation of PCI DSS requirements, and business-impact analysis to determine potential PCI DSS impacts for strategic business decision."
DCF-729,Formal PCI DSS Compliance Program in Place,"%S has implemented a formal PCI DSS compliance that includes: definition of activities for maintaining and monitoring overall compliance including business-as-usual activities, annual PCI DSS assessment processes, processes for the continuous validation of PCI DSS requirement, and a process for performing business-impact analysis to determine potential PCI DSS impacts for strategic business decisions."
DCF-730,Security Controls on Devices that Connect to the Internet,"Security controls, such as local firewalls, endpoint protection software, etc., are installed on computing devices, including company- and employee-owned devices, that connect to both untrusted networks (including the Internet) and the environment to prevent the introduction of threats."
DCF-731,Documented PAN Discovery Methodology,Optimized Payments has documented a data discovery methodology to identify all cleartext PAN existing in the environment through automated or manual mechanisms. The data discovery efforts are conducted at least once every three months and upon significant changes to the CDE or processes and the results are documented.
DCF-732,Review of Cryptographic Suites and Protocols,"Optimized Payments maintains a documented inventory of all cryptographic cipher suites and protocols in use, including purpose and where used. The inventory is reviewed at least once every 12 months including monitoring of industry trends regarding continued viability of all cryptographic cipher suites and protocols in use. Where appropriate, Optimized Payments documents a strategy to respond to anticipated changes in cryptographic vulnerabilities for suites and protocols in use."
DCF-733,Review of Business as Usual Activity,Reviews are performed at least once every three months by personnel assigned to the PCI DSS compliance program to verify that all business as usual (BAU) activities are being performed and that personnel are following security policies and operational procedures. Results are documented and signed-off by personnel assigned responsibility for the PCI DSS compliance program and records are retained for at least 12 months.
DCF-734,Incident Response Procedures for Cleartext PAN Removal,"Optimized Payments documented incident response procedures include processes to be initiated upon detection of attempts to remove cleartext PAN from the CDE via an unauthorized channel, method, or process, including investigation of alerts by responsible personnel and procedures for remediating data leaks or process gaps to prevent prevent any data loss."
DCF-735,Migration Plan in Place for SSL and Early TLS POS POI,"For any existing connection points to POS POI terminals that use SSL and/or early TLS, Optimized Payments has a documented risk mitigation and migration plan in place."
DCF-736,PAN Discovery Mechanisms Assessed,Optimized Payments has a documented process to test the effectiveness of the methods used for data discovery to identify cleartext PAN in the environment. Optimized Payments executes the process at least once every 12 months to confirm the completeness and accuracy of account data detection.
DCF-737,Protected Storage of Secret and Private Keys for Account Data,Secret and private keys used to encrypt/decrypt stored account data are stored in within a secure cryptographic device (SCD) as at least two full-length key components or key shares in accordance with an industry-accepted method.
DCF-738,Keyed Cryptographic Hashes of PAN,"Where hashes are used to render PAN unreadable, hashing methods results in keyed cryptographic hashes of the entire PAN which are managed in accordance with company's key management processes and procedures."
DCF-739,PCI DSS Scope Impact Assessment,"Optimized Payments conducts a PCI DSS scope impact assessment for any changes to systems or networks, including additions of new systems and new network connections. The assessment includes identifying applicable PCI DSS requirements to the system or network, updating PCI DSS scope as appropriate, and documenting sign-offs of the results of the impact assessment by responsible personnel."
DCF-740,PCI DSS Compliance Policy,Optimized Payments has a documented policy that outlines company requirements and activities to be implemented to support PCI DSS compliance.
DCF-741,Logging and Monitoring Policy,Optimized Payments has a documented policy that outlines requirements for audit logging and monitoring of system activity at the company.
DCF-744,Contact with Authorities,"Optimized Payments has identified and documented authorities to be contacted (such as law enforcement, regulatory bodies, supervisory authorities) as well as the events or circumstances that would require communication. Optimized Payments has also documented the methods and responsibilities for communication with authorities."
DCF-745,Segregation of Duties,"Management has identified conflicting duties and areas of responsibility in the organization and implemented strategies to achieve segregation of duties (e.g., access control, assigning responsibilities to different individuals, etc.). Where segregation of duties is not possible, management has identified and implemented mitigating controls to reduce the risk of fraud."
DCF-746,Privacy Training,Optimized Payments has established training programs to help personnel understand their obligations and responsibilities for the protection of personally identifiable information (PII) and associated regulatory requirements. Personnel (including employees and contractors as applicable) are required to complete the training during onboarding and annually thereafter.
DCF-747,Secure Log-on for Customers,"Optimized Payments provides customers with the capabilities for secure log-on procedures for any user accounts under the customers' control (e.g., single sign-on, multi-factor authentication, masking of passwords, minimal information disclosures in error messages, etc.)"
DCF-748,Segmentation of Networks,Optimized Payments uses network segmentation and/or other techniques to isolate portions of the environment and to control traffic between them based on security and business needs.
DCF-749,Leak Detection System,Critical facilities are equipped with a leak detection system to detect water in the event of a flood or leakage.
DCF-753,Mechanisms to Object to PII Processing,"Optimized Payments provides customers with a mechanism for data subjects to object to the processing of their PII (e.g. objections relating to the processing of PII for direct marketing purposes, etc.)."
DCF-754,Right to Access,"Optimized Payments has documented and implemented procedures and mechanisms to locate, retrieve, and provide a copy of the PII that is collected and/or processed when requested by the data subject, or to notify them if the PII has been deleted or de-identified."
DCF-756,Dual Opt-In for Consent to Sell PII,"Optimized Payments provides a dual opt-in mechanism for consent to sell or share personal information whereby the data subject first requests to opt-in and then, separately confirms their choice to opt-in."
DCF-757,User and System Guides,"Optimized Payments provides user guides, help articles, system documentation or other mechanisms to users to share information about the design and operation of the system and its boundaries. The information provided includes functional and nonfunctional requirements related to system processing and information specifications required to support the use of the system."
DCF-760,Control of Audit Activities,"Audit requirements and activities involving verification of operational systems are planned and agreed-upon by management to minimize disruptions to business processes and security risks (considering scope, access requirements, availability impact, etc.)."
DCF-762,Managing Changes to Supplier Services,"Changes to the provision of services by vendors, including expansions of services and supplier changes, require review and due diligence activities and are authorized by management. Documentation of the due diligence activities and authorization is retained."
DCF-763,Requirements for Protection of Intellectual Property Rights,"Optimized Payments's policies, procedures, and agreements include requirements for protection of intellectual of property rights and use of proprietary software products."
DCF-765,Limit Collection of PII,"Where any optionality in the collection and processing of PII exists, Optimized Payments has disabled that option by default and only enabled by explicit choice of the data subject."
DCF-770,Consulting with Customer Prior to PII Disclosures,"When a data subject has authorized an agent to submit a privacy right request, Optimized Payments confirms directly with the data subject that they provided the authorized agent permission to submit the request prior to fulfilling the request and retains supporting documentation."
DCF-774,Data Processing Monitoring,"Application/data processing for Optimized Payments's system is logged and monitored to ensure processing is done completely and accurately. Errors in application/data processing are documented, investigated, escalated and corrected in accordance with policies and procedures."
DCF-775,Cloud Deletion Protection,Optimized Payments has enabled deletion protection for cloud resources to prevent irreversible data loss or downtime resulting from accidental or malicious actions.
DCF-776,Principle of Least Privilege,Optimized Payments assigns permissions through groups or roles based on the principle of least privilege and limits the use of wild-card permissions or broad-access patterns.
DCF-777,Cloud Resource Tagging,"Optimized Payments uses tags to assign metadata to cloud resources to facilitate identification, inventory, and classification of virtual assets."
DCF-778,Fraud Risk Assessment,"Optimized Payments performs an evaluation of fraud risks at least annually, either as a separate evaluation or as part of the overall enterprise risk assessment. The evaluation of fraud risk is performed in accordance with the company's risk assessment methodology."
DCF-779,Cryptographic Key Rotation,Optimized Payments has implemented processes to change cryptographic keys periodically based on a defined schedule.
DCF-780,Web Filtering,"Optimized Payments has implemented web filtering mechanisms to enforce the company's internet usage policies (e.g, block access to known malicious sites, prevent access to prohibited web resources, etc.)"
DCF-781,Secure Login Procedures,"Optimized Payments has implemented secure login procedures for in-house developed systems to deter enumeration or brute-force attacks (e.g., displaying limited information in login error messages without indicating which data is correct or incorrect, etc.)"
DCF-782,Cloud Storage Lifecycle,Optimized Payments has configured lifecycle rules for cloud storage to delete data automatically after expiration of their retention periods.
DCF-783,Credentials Rotation,"Optimized Payments has implemented processes to change credentials (secrets, access keys, API keys, etc.) periodically based on a defined schedule."
DCF-784,Software Composition Analysis (SCA),"Optimized Payments checks software components and libraries for policy and license compliance, security risks, and supported versions (e.g. using software composition analysis (SCA) tools in development pipeline, etc.). If vulnerabilities in these software components or libraries are identified, fixes are implemented in accordance with the company's vulnerability management policies."
DCF-785,Supported System Components,"Optimized Payments maintains secure and supported configuration standards and versions for system components and replaces those components when support is no longer available from the developer, vendor, or manufacturer. Where unsupported components cannot be replaced, Optimized Payments identifies and documents risk mitigation strategies."
DCF-786,Defined Company Objectives,"Management has defined company objectives, including mission and vision statements, operational objectives at the entity and functional levels, financial performance goals, and other objectives as appropriate, to serve as the basis for risk assessment activities (e.g., objectives related to security, compliance, risk mitigation, etc.). Management communicates its objectives and any changes to those objectives to personnel."
DCF-789,Expectations of Interested Parties,"Optimized Payments has identified and documented the interested parties, their requirements and expectations of the organization (e.g., security and privacy expectations of customers, compliance expectations of regulators, business expectations of partners, performance and risks expectations of directors and investors, etc.), and how these requirements and expectations will be addressed."
